timestamp_utc,events,multiplicity_hg_mean,multiplicity_hg_std,multiplicity_lg_mean,multiplicity_lg_std,multiplicity_hg_sem,multiplicity_lg_sem,timestamp_local
2026-02-19 23:01:00+00:00,106,2.6226,0.8886,2.1792,0.432,0.0863,0.042,2026-02-19 15:01:00-08:00
2026-02-19 23:02:00+00:00,94,2.8191,0.95,2.234,0.5373,0.098,0.0554,2026-02-19 15:02:00-08:00
2026-02-19 23:03:00+00:00,104,2.7404,0.9853,2.2212,0.6225,0.0966,0.061,2026-02-19 15:03:00-08:00
2026-02-19 23:04:00+00:00,119,2.8067,0.9591,2.1849,0.5202,0.0879,0.0477,2026-02-19 15:04:00-08:00
2026-02-19 23:05:00+00:00,116,2.6552,0.814,2.1293,0.4478,0.0756,0.0416,2026-02-19 15:05:00-08:00
2026-02-19 23:06:00+00:00,101,2.8515,0.9938,2.1881,0.5237,0.0989,0.0521,2026-02-19 15:06:00-08:00
2026-02-19 23:07:00+00:00,108,2.6944,0.7789,2.1852,0.4957,0.075,0.0477,2026-02-19 15:07:00-08:00
2026-02-19 23:08:00+00:00,130,2.8538,1.4686,2.2615,0.617,0.1288,0.0541,2026-02-19 15:08:00-08:00
2026-02-19 23:09:00+00:00,116,2.75,0.9946,2.1034,0.3817,0.0923,0.0354,2026-02-19 15:09:00-08:00
2026-02-19 23:10:00+00:00,131,2.6947,0.8849,2.2214,0.5448,0.0773,0.0476,2026-02-19 15:10:00-08:00
2026-02-19 23:11:00+00:00,115,2.6957,0.8602,2.1565,0.4311,0.0802,0.0402,2026-02-19 15:11:00-08:00
2026-02-19 23:12:00+00:00,100,2.64,0.8471,2.13,0.3667,0.0847,0.0367,2026-02-19 15:12:00-08:00
2026-02-19 23:13:00+00:00,115,2.8,1.1486,2.2522,0.6989,0.1071,0.0652,2026-02-19 15:13:00-08:00
2026-02-19 23:14:00+00:00,114,2.7544,1.0438,2.2105,0.5233,0.0978,0.049,2026-02-19 15:14:00-08:00
2026-02-19 23:15:00+00:00,104,2.7404,0.836,2.2404,0.5659,0.082,0.0555,2026-02-19 15:15:00-08:00
2026-02-19 23:16:00+00:00,109,2.6972,0.7877,2.2294,0.5714,0.0754,0.0547,2026-02-19 15:16:00-08:00
2026-02-19 23:17:00+00:00,109,2.6422,0.8978,2.1927,0.5354,0.086,0.0513,2026-02-19 15:17:00-08:00
2026-02-19 23:18:00+00:00,136,2.8382,0.9601,2.2426,0.5643,0.0823,0.0484,2026-02-19 15:18:00-08:00
2026-02-19 23:19:00+00:00,113,2.7345,0.8966,2.1681,0.48,0.0843,0.0452,2026-02-19 15:19:00-08:00
2026-02-19 23:20:00+00:00,139,2.6763,0.9264,2.1223,0.425,0.0786,0.036,2026-02-19 15:20:00-08:00
2026-02-19 23:21:00+00:00,110,2.7455,0.9131,2.2545,0.5492,0.0871,0.0524,2026-02-19 15:21:00-08:00
2026-02-19 23:22:00+00:00,100,2.68,0.7231,2.18,0.4353,0.0723,0.0435,2026-02-19 15:22:00-08:00
2026-02-19 23:23:00+00:00,107,2.7757,0.9547,2.2897,0.6296,0.0923,0.0609,2026-02-19 15:23:00-08:00
2026-02-19 23:24:00+00:00,123,2.7073,0.8271,2.187,0.5177,0.0746,0.0467,2026-02-19 15:24:00-08:00
2026-02-19 23:25:00+00:00,88,2.8182,0.9535,2.2386,0.5672,0.1016,0.0605,2026-02-19 15:25:00-08:00
2026-02-19 23:26:00+00:00,125,2.712,0.8114,2.232,0.5257,0.0726,0.047,2026-02-19 15:26:00-08:00
2026-02-19 23:27:00+00:00,116,2.6638,0.8841,2.1724,0.5154,0.0821,0.0479,2026-02-19 15:27:00-08:00
2026-02-19 23:28:00+00:00,113,3.0531,2.5278,2.3451,1.4867,0.2378,0.1399,2026-02-19 15:28:00-08:00
2026-02-19 23:29:00+00:00,107,2.9439,0.94,2.271,0.623,0.0909,0.0602,2026-02-19 15:29:00-08:00
2026-02-19 23:30:00+00:00,125,2.8,0.9919,2.192,0.5032,0.0887,0.045,2026-02-19 15:30:00-08:00
2026-02-19 23:31:00+00:00,109,2.7431,0.7746,2.2202,0.4784,0.0742,0.0458,2026-02-19 15:31:00-08:00
2026-02-19 23:32:00+00:00,130,2.6923,0.7958,2.1538,0.4395,0.0698,0.0386,2026-02-19 15:32:00-08:00
