TStampPC,Brd,TStamp_servEvt,BrdTemp,DetTemp,FPGATemp,HVTemp,Vmon,Imon,HVstatus,BrdStatus,timestamp_utc
1771537309964,0,1771537309799,34.5,26.9,38.8,30.8,57.001,0.006,1,0x44D,2026-02-19 21:41:49.964000+00:00
1771537310965,0,1771537310873,34.5,26.9,38.8,30.9,57.002,0.006,1,0x44D,2026-02-19 21:41:50.965000+00:00
1771537311966,0,1771537311947,34.5,26.9,38.6,30.9,56.998,0.007,1,0x44D,2026-02-19 21:41:51.966000+00:00
1771537312967,0,1771537311947,34.5,26.9,38.6,30.9,56.998,0.007,1,0x44D,2026-02-19 21:41:52.967000+00:00
1771537313968,0,1771537313021,34.5,26.9,38.8,30.9,56.998,0.006,1,0x44D,2026-02-19 21:41:53.968000+00:00
1771537314969,0,1771537314094,34.5,26.9,38.8,30.9,56.998,0.005,1,0x44D,2026-02-19 21:41:54.969000+00:00
1771537315970,0,1771537315168,34.5,26.9,38.8,30.9,56.995,0.006,1,0x44D,2026-02-19 21:41:55.970000+00:00
1771537316971,0,1771537316242,34.5,26.9,38.8,31.0,56.999,0.005,1,0x44D,2026-02-19 21:41:56.971000+00:00
1771537317972,0,1771537317316,34.5,26.9,38.8,31.0,56.999,0.006,1,0x44D,2026-02-19 21:41:57.972000+00:00
1771537318973,0,1771537318389,34.5,26.9,38.9,31.0,56.999,0.006,1,0x44D,2026-02-19 21:41:58.973000+00:00
1771537319974,0,1771537319463,34.5,26.9,38.8,31.0,56.996,0.006,1,0x44D,2026-02-19 21:41:59.974000+00:00
1771537320975,0,1771537320537,34.5,26.9,38.8,31.0,57.007,0.006,1,0x44D,2026-02-19 21:42:00.975000+00:00
1771537321976,0,1771537321610,34.5,26.9,38.9,31.2,57.004,0.007,1,0x44D,2026-02-19 21:42:01.976000+00:00
1771537322977,0,1771537322684,34.5,26.9,39.0,31.2,56.997,0.006,1,0x44D,2026-02-19 21:42:02.977000+00:00
1771537323978,0,1771537323758,34.5,26.9,38.8,31.2,56.997,0.006,1,0x44D,2026-02-19 21:42:03.978000+00:00
1771537324979,0,1771537324832,34.5,26.9,39.0,31.2,56.997,0.006,1,0x44D,2026-02-19 21:42:04.979000+00:00
1771537325980,0,1771537325905,34.5,26.9,38.9,31.2,56.997,0.006,1,0x44D,2026-02-19 21:42:05.980000+00:00
1771537326981,0,1771537326979,34.5,26.9,38.9,31.2,57.0,0.006,1,0x44D,2026-02-19 21:42:06.981000+00:00
1771537327982,0,1771537326979,34.5,26.9,38.9,31.2,57.0,0.006,1,0x44D,2026-02-19 21:42:07.982000+00:00
1771537328983,0,1771537328053,34.5,26.9,39.0,31.3,57.001,0.006,1,0x44D,2026-02-19 21:42:08.983000+00:00
1771537329984,0,1771537329127,34.5,26.9,39.0,31.3,57.001,0.007,1,0x44D,2026-02-19 21:42:09.984000+00:00
1771537330985,0,1771537330200,34.5,26.9,39.0,31.3,57.001,0.006,1,0x44D,2026-02-19 21:42:10.985000+00:00
1771537331986,0,1771537331274,34.5,26.9,39.3,31.3,57.001,0.007,1,0x44D,2026-02-19 21:42:11.986000+00:00
1771537332987,0,1771537332348,34.5,26.9,39.0,31.3,56.998,0.007,1,0x44D,2026-02-19 21:42:12.987000+00:00
1771537333988,0,1771537333421,35.0,26.9,39.1,31.3,57.001,0.006,1,0x44D,2026-02-19 21:42:13.988000+00:00
1771537334989,0,1771537334495,35.0,26.9,39.1,31.4,56.995,0.006,1,0x44D,2026-02-19 21:42:14.989000+00:00
1771537335990,0,1771537335569,35.0,26.9,39.3,31.4,56.999,0.006,1,0x44D,2026-02-19 21:42:15.990000+00:00
1771537336991,0,1771537336643,35.0,26.9,39.1,31.4,56.999,0.006,1,0x44D,2026-02-19 21:42:16.991000+00:00
1771537337992,0,1771537337716,35.0,26.9,39.3,31.4,56.999,0.006,1,0x44D,2026-02-19 21:42:17.992000+00:00
1771537338993,0,1771537338790,35.0,26.9,39.1,31.4,56.999,0.007,1,0x44D,2026-02-19 21:42:18.993000+00:00
1771537339994,0,1771537339864,35.0,26.9,39.4,31.4,56.999,0.007,1,0x44D,2026-02-19 21:42:19.994000+00:00
1771537340995,0,1771537340938,35.0,26.9,39.4,31.5,57.0,0.006,1,0x44D,2026-02-19 21:42:20.995000+00:00
1771537341996,0,1771537340938,35.0,26.9,39.4,31.5,57.0,0.006,1,0x44D,2026-02-19 21:42:21.996000+00:00
