channel,samples,occupancy_fraction,hg_mean,hg_median,hg_std,hg_p95,lg_mean,lg_median,lg_std,lg_p95,mip_pedestal_hg,mip_threshold_hg,mip_peak_hg,mip_pedestal_lg,mip_threshold_lg,mip_peak_lg
49,22643,0.016,103.397,103.0,7.183,116.0,105.831,106.0,7.88,119.0,103.0,150.0,,106.0,143.065,
50,22643,0.016,103.594,103.0,6.85,115.0,105.762,106.0,7.708,119.0,103.0,150.0,,106.0,143.065,
51,22643,0.016,104.344,104.0,7.646,117.0,105.132,105.0,6.508,117.0,104.0,150.0,,105.0,135.0,
52,22643,0.016,103.881,103.0,7.771,117.0,106.557,106.0,7.747,120.0,103.0,150.0,,106.0,143.065,
53,22643,0.016,105.88,106.0,7.364,119.0,104.697,104.0,5.981,115.0,106.0,150.0,,104.0,134.0,
54,22643,0.016,105.332,105.0,7.55,118.0,105.782,105.0,7.156,118.0,105.0,150.0,,105.0,142.065,
55,22643,0.016,103.262,103.0,7.245,116.0,105.272,105.0,6.501,117.0,103.0,150.0,,105.0,135.0,
56,22643,0.016,102.594,102.0,6.588,114.0,105.633,105.0,5.808,116.0,102.0,150.0,,105.0,135.0,
57,22643,0.016,105.024,105.0,7.286,117.0,106.667,106.0,7.258,119.0,105.0,150.0,,106.0,143.065,
58,22643,0.016,101.464,101.0,6.061,112.0,103.626,103.0,7.786,117.0,101.0,150.0,,103.0,140.065,
59,22643,0.016,101.918,102.0,7.128,114.0,106.283,106.0,7.633,119.0,102.0,150.0,,106.0,143.065,
60,22643,0.016,106.502,106.0,7.44,119.0,104.593,104.0,6.824,116.0,106.0,150.0,,104.0,141.065,
61,22643,0.016,102.708,102.0,7.192,115.0,103.284,103.0,6.577,115.0,102.0,150.0,,103.0,133.0,
62,22643,0.016,103.468,103.0,7.22,116.0,105.107,105.0,7.182,117.0,103.0,150.0,,105.0,142.065,
63,22643,0.016,102.714,102.0,6.608,114.0,106.051,106.0,6.155,117.0,102.0,150.0,,106.0,136.0,
